commune,organisme,email,adresse_mairie,code_postal,ville,url
Aclou,Mairie - Aclou,mairie.aclou@wanadoo.fr,3 rue de la Mairie,27800,Aclou,https://lannuaire.service-public.gouv.fr/normandie/eure/a34a85cf-9c2d-4621-b933-46f925513137
Acon,Mairie - Acon,acon.eure@wanadoo.fr,Le Rousset 8 rue de la Mairie,27570,Acon,https://lannuaire.service-public.gouv.fr/normandie/eure/90c03ce1-9d30-46c0-9ab9-a9ce817ae4b0
Acquigny,Mairie - Acquigny,mairie@ville-acquigny.fr,14 rue Aristide-Briand,27400,Acquigny,https://lannuaire.service-public.gouv.fr/normandie/eure/c7c0361d-05b7-4444-9804-9d6b738b838a
Aigleville,Mairie - Aigleville,,1 rue André-Rouillé,27120,Aigleville,https://lannuaire.service-public.gouv.fr/normandie/eure/8228c9c2-adf0-4cf6-9cfa-f1c50153aa27
Ailly,Mairie - Ailly,ailly.mairie@wanadoo.fr,4 rue de l'Église,27600,Ailly,https://lannuaire.service-public.gouv.fr/normandie/eure/c03010f3-2e5b-45ac-923c-3042e05a46e5
Aizier,Mairie - Aizier,mairie.aizier@orange.fr,65 route des Chaumières,27500,Aizier,https://lannuaire.service-public.gouv.fr/normandie/eure/29cbd54b-c863-48ef-b967-2847e904504b
Alizay,Mairie - Alizay,contact@alizay.fr,99 rue de l'Andelle,27460,Alizay,https://lannuaire.service-public.gouv.fr/normandie/eure/0967671c-d5e4-4cde-bbef-19ebb125d36b
Ambenay,Mairie - Ambenay,ambenay.mairie@wanadoo.fr,5 place de l'Église,27250,Ambenay,https://lannuaire.service-public.gouv.fr/normandie/eure/b5fe95ac-27f8-4d0d-a645-393ca1cfb2be
Amfreville-Saint-Amand,Mairie - Amfreville-Saint-Amand,mairie.amfreville.st.amand@gmail.com,2 rue de Blosseville,27370,Amfreville-Saint-Amand,https://lannuaire.service-public.gouv.fr/normandie/eure/0f4ecb35-ef94-4be0-ba08-0bd7dd0f4b65
Amfreville-les-Champs,Mairie - Amfreville-les-Champs,mairie.amfrevilleleschamps@orange.fr,72 rue de la Mairie,27380,Amfreville-les-Champs,https://lannuaire.service-public.gouv.fr/normandie/eure/0a974c34-73d4-4cc5-a007-3acd716fd230
Amfreville-sous-les-Monts,Mairie - Amfreville-sous-les-Monts,mairie.amfrevillesouslesmonts@wanadoo.fr,1 place René-Raban,27380,Amfreville-sous-les-Monts,https://lannuaire.service-public.gouv.fr/normandie/eure/1795a360-14c9-4273-b77f-c3db497eb3cf
