commune,organisme_mairie,email_mairie,adresse_mairie,code_postal_mairie,ville_mairie,site_mairie,nb_dae,nb_dae_en_service,nb_dae_hors_service,nb_dae_24_7,nb_dae_accessibles_public,nb_dae_exterieur,nb_dae_interieur,types_dae,horaires_declares,notes_accessibilite,adresses_exemples,score_besoin,priorite_besoin,points_attention
Aigleville,Mairie - Aigleville,,1 rue André-Rouillé,27120,Aigleville,https://lannuaire.service-public.gouv.fr/normandie/eure/8228c9c2-adf0-4cf6-9cfa-f1c50153aa27,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Amfreville-Saint-Amand,Mairie - Amfreville-Saint-Amand,mairie.amfreville.st.amand@gmail.com,2 rue de Blosseville,27370,Amfreville-Saint-Amand,https://lannuaire.service-public.gouv.fr/normandie/eure/0f4ecb35-ef94-4be0-ba08-0bd7dd0f4b65,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Amécourt,Mairie - Amécourt,mairie.amecourt27@pole-secretariat.fr,1 chemin de l'Epine,27140,Amécourt,https://lannuaire.service-public.gouv.fr/normandie/eure/6dc9a61b-b61e-442c-ad14-de0adff6c5a7,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Arnières-sur-Iton,Mairie - Arnières-sur-Iton,secretariat@arnieres-sur-iton.fr,10 rue Aristide-Briand,27180,Arnières-sur-Iton,https://lannuaire.service-public.gouv.fr/normandie/eure/7c4c3a06-cf17-4721-910b-d925b3876302,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bacquepuis,Mairie - Bacquepuis,mairie.bacquepuis@orange.fr,20 rue du Bout-de-la-Ferme,27930,Bacquepuis,https://lannuaire.service-public.gouv.fr/normandie/eure/bb64dac6-c60e-4189-b755-bd4bb7d18c96,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Barc,Mairie - Barc,mairie@mairie-barc.fr,Place de la Mairie,27170,Barc,https://lannuaire.service-public.gouv.fr/normandie/eure/0608777b-f78d-4a42-9987-7086da4942a8,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Barneville-sur-Seine,Mairie - Barneville-sur-Seine,mairie.barnevillesurseine@wanadoo.fr,660 rue du Village,27310,Barneville-sur-Seine,https://lannuaire.service-public.gouv.fr/normandie/eure/c624672c-1e7a-44d1-9de4-e4d7cd73f292,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Barquet,Mairie - Barquet,mairiedebarquet@wanadoo.fr,17 rue de la Mairie,27170,Barquet,https://lannuaire.service-public.gouv.fr/normandie/eure/917e87af-b421-4923-8cf1-3fdd10d2afce,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Barville,Mairie - Barville,barville.mairie@orange.fr,180 allée des Sapins,27230,Barville,https://lannuaire.service-public.gouv.fr/normandie/eure/d1a45ed3-b3fb-4ef9-a7e7-16b66ff83a49,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bazoques,Mairie - Bazoques,mairiebazoques@orange.fr,Le Bourg,27230,Bazoques,https://lannuaire.service-public.gouv.fr/normandie/eure/97683c88-5cb3-4bc6-9006-e66d30ead721,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Beauficel-en-Lyons,Mairie - Beauficel-en-Lyons,commune.beauficelenlyons@orange.fr,6 place de l'Église,27480,Beauficel-en-Lyons,https://lannuaire.service-public.gouv.fr/normandie/eure/13263caa-f911-4d04-9447-25f1be2ced62,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bernienville,Mairie - Bernienville,mairie.bernienville@gmail.com,Rue de la Mairie,27180,Bernienville,https://lannuaire.service-public.gouv.fr/normandie/eure/3c6c7c55-23a0-4558-ac7f-54d610fcf45c,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bois-Normand-près-Lyre,Mairie - Bois-Normand-près-Lyre,mairie.bois-normand@wanadoo.fr,2 route de Glos,27330,Bois-Normand-près-Lyre,https://lannuaire.service-public.gouv.fr/normandie/eure/479859b5-c6eb-483f-b02b-355bb6fb1c55,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Boisney,Mairie - Boisney,mairie.boisney@wanadoo.fr,Rue de la Mairie,27800,Boisney,https://lannuaire.service-public.gouv.fr/normandie/eure/1eb3bd9c-62bb-41e5-ba2f-4ad321bb59b4,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Boncourt,Mairie - Boncourt,mairiedeboncourt@wanadoo.fr,10 rue des Vergers,27120,Boncourt,https://lannuaire.service-public.gouv.fr/normandie/eure/9d27a1e3-5051-494d-a247-2393e20c198f,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bonneville-Aptot,Mairie - Bonneville-Aptot,mairie.bonneville-aptot@orange.fr,111 le Village,27290,Bonneville-Aptot,https://lannuaire.service-public.gouv.fr/normandie/eure/908e178b-6732-4fc5-9a3a-f071bb366116,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bosrobert,Mairie - Bosrobert,mairiedebosrobert@orange.fr,11 route de la Mairie,27800,Bosrobert,https://lannuaire.service-public.gouv.fr/normandie/eure/2cb14303-8fe0-4cce-81f1-de21bcc16b5d,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bouafles,Mairie - Bouafles,mairie-bouafles27@orange.fr,28 Haute-rue,27700,Bouafles,https://lannuaire.service-public.gouv.fr/normandie/eure/112b0016-24d4-427c-bc4c-4a930a56e009,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bouquelon,Mairie - Bouquelon,bouquelon.mairie@wanadoo.fr,1 place de l'Église,27500,Bouquelon,https://lannuaire.service-public.gouv.fr/normandie/eure/711c76a4-4b5a-437a-91b0-2717f9be90a7,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bouquetot,Mairie - Bouquetot,mairie.bouquetot@wanadoo.fr,91 rue de l'Église,27310,Bouquetot,https://lannuaire.service-public.gouv.fr/normandie/eure/905bdbf0-3a39-4bc2-b46c-fe0897de0c17,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bournainville-Faverolles,Mairie - Bournainville-Faverolles,mairiebournainvillefaverolles@orange.fr,17 rue du Chanoine-Porée,27230,Bournainville-Faverolles,https://lannuaire.service-public.gouv.fr/normandie/eure/20eecf01-e0e9-497d-bf6a-01cdccdf71f4,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bray,Mairie - Bray,bray.mairie@orange.fr,2 rue des Écoles,27170,Bray,https://lannuaire.service-public.gouv.fr/normandie/eure/bc4c5ce6-9d99-4968-b7e9-cf348d31f9a2,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Bretagnolles,Mairie - Bretagnolles,mairie.bretagnolles@orange.fr,10 rue de l'Église,27220,Bretagnolles,https://lannuaire.service-public.gouv.fr/normandie/eure/3285f5f8-4a59-48ec-80a4-a8d17ad479d6,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Breux-sur-Avre,Mairie - Breux-sur-Avre,mairie@breux-sur-avre.fr,10 ancienne route du Mans Le Bourg,27570,Breux-sur-Avre,https://lannuaire.service-public.gouv.fr/normandie/eure/0b19da66-336b-4a4d-a56a-1bbf731ec306,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Brétigny,Mairie - Brétigny,mairie.bretigny27@orange.fr,4 rue du Bourg,27800,Brétigny,https://lannuaire.service-public.gouv.fr/normandie/eure/619edaea-212a-4052-b8e7-d0b969d167b3,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Calleville,Mairie - Calleville,calleville.mairie@wanadoo.fr,29 rue Jules-Quatrenoix,27800,Calleville,https://lannuaire.service-public.gouv.fr/normandie/eure/fc38809b-edb0-4a40-9a6c-f179d0662de6,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Caorches-Saint-Nicolas,Mairie - Caorches-Saint-Nicolas,mairie.caorches.st.nicolas@wanadoo.fr,11 route d'Orbec,27300,Caorches-Saint-Nicolas,https://lannuaire.service-public.gouv.fr/normandie/eure/f12caf77-63b0-4171-b578-8d01731d506c,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Cauverville-en-Roumois,Mairie - Cauverville-en-Roumois,mairiecauvervillenroumois@gmail.com,4 chemin de Rondemare,27350,Cauverville-en-Roumois,https://lannuaire.service-public.gouv.fr/normandie/eure/46be969a-fc9c-4b81-9b7d-c6893bca7739,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Cesseville,Mairie - Cesseville,mairie.cesseville@orange.fr,1 route Hectomare,27110,Cesseville,https://lannuaire.service-public.gouv.fr/normandie/eure/61ccd6dd-3d8a-4858-a9c5-48bbb812fa21,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Chamblac,Mairie - Chamblac,mairie-chamblac@wanadoo.fr,Le Bourg,27270,Chamblac,https://lannuaire.service-public.gouv.fr/normandie/eure/b6b7e053-e30e-4df7-a4d8-e6ab7dad3850,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Chambord,Mairie - Chambord,mairie.chambord@wanadoo.fr,5 rue de la Mairie,27250,Chambord,https://lannuaire.service-public.gouv.fr/normandie/eure/2d47f87e-9a4a-456e-affb-ce0841345976,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Chambray,Mairie - Chambray,mairiedechambray27120@orange.fr,1 rue de la Mairie,27120,Chambray,https://lannuaire.service-public.gouv.fr/normandie/eure/a84a01a8-afc0-4ed8-bcb4-5e722e1acfb2,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Champ-Dolent,Mairie - Champ-Dolent,mairie.champ.dolent@wanadoo.fr,Place de la Mairie,27190,Champ-Dolent,https://lannuaire.service-public.gouv.fr/normandie/eure/ccef3432-3c61-4839-91c3-cbc6990b011f,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Champenard,Mairie - Champenard,mairie-champenard@orange.fr,Place de la Mairie,27600,Champenard,https://lannuaire.service-public.gouv.fr/normandie/eure/7a1165be-104d-4c31-aa13-c01bd5805993,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Claville,Mairie - Claville,mairie.claville@wanadoo.fr,10 place Bance,27180,Claville,https://lannuaire.service-public.gouv.fr/normandie/eure/0d03aa15-88ca-4582-9f90-084b55b49cb5,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Collandres-Quincarnon,Mairie - Collandres-Quincarnon,collandres.quincarnon@orange.fr,2 rue du Beau-Marcée,27190,Collandres-Quincarnon,https://lannuaire.service-public.gouv.fr/normandie/eure/5e255404-77e5-4b7a-a1c5-908758419afb,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Condé-sur-Risle,Mairie - Condé-sur-Risle,contact@mairieconde.fr,5 rue du Village,27290,Condé-sur-Risle,https://lannuaire.service-public.gouv.fr/normandie/eure/c7ba1cb1-a545-4f7b-aec0-377b7ad51ac9,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Connelles,Mairie - Connelles,communeconnelles@orange.fr,19 route d'Amfreville-sous-les-Monts,27430,Connelles,https://lannuaire.service-public.gouv.fr/normandie/eure/50678921-d7f1-4a20-a6fd-3979fda3b76c,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Corneville-la-Fouquetière,Mairie - Corneville-la-Fouquetière,mairiecornevillefouquetiere@wanadoo.fr,Place de la Mairie,27300,Corneville-la-Fouquetière,https://lannuaire.service-public.gouv.fr/normandie/eure/58bb8c9e-4c52-409e-86bb-da65bc0b3451,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Coudres,Mairie - Coudres,mairie.coudres@wanadoo.fr,36 ter rue Grande,27220,Coudres,https://lannuaire.service-public.gouv.fr/normandie/eure/b8465952-0856-4b58-860b-d2488942ff76,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Courteilles,Mairie - Courteilles,mairie-de-courteilles@wanadoo.fr,1 rue du Capitaine-Jacques-Mallet,27130,Courteilles,https://lannuaire.service-public.gouv.fr/normandie/eure/1944e914-b0ef-41ef-8f40-d256ab07afb4,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Crestot,Mairie - Crestot,mairie.crestot@orange.fr,12 rue des Écoles,27110,Crestot,https://lannuaire.service-public.gouv.fr/normandie/eure/21816d8a-503f-480b-98f1-88210865c0a0,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Croisy-sur-Eure,Mairie - Croisy-sur-Eure,mairiecroisy@wanadoo.fr,17 route de Ménilles,27120,Croisy-sur-Eure,https://lannuaire.service-public.gouv.fr/normandie/eure/e40c4fea-8e10-417f-b294-81ea9ec1328b,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Cuverville,Mairie - Cuverville,mairie.cuverville@wanadoo.fr,12 Grande rue,27700,Cuverville,https://lannuaire.service-public.gouv.fr/normandie/eure/0e0b233c-edd4-4d28-99a7-0a4525c5f255,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Dangu,Mairie - Dangu,mairie.dangu@wanadoo.fr,22 rue de la Porte-des-Champs,27720,Dangu,https://lannuaire.service-public.gouv.fr/normandie/eure/b862d595-e818-4fab-b733-ab74aaae1192,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Dardez,Mairie - Dardez,mairiedardez@wanadoo.fr,Place Saint-Martin,27930,Dardez,https://lannuaire.service-public.gouv.fr/normandie/eure/cc334fb6-e579-4589-a57e-a44ca6a8d1ea,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Daubeuf-Près-Vatteville,Mairie - Daubeuf-Près-Vatteville,commune.daubeuf@orange.fr,21 rue des Acacias,27430,Daubeuf-près-Vatteville,https://lannuaire.service-public.gouv.fr/normandie/eure/bfb41c5f-591d-4b27-acc9-48d837c57498,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Daubeuf-la-Campagne,Mairie - Daubeuf-la-Campagne,mairie.daubeuf.la.campagne@wanadoo.fr,28 rue Grande,27110,Daubeuf-la-Campagne,https://lannuaire.service-public.gouv.fr/normandie/eure/2fc87e43-d2a7-498a-9386-e95817ef9364,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Doudeauville-en-Vexin,Mairie - Doudeauville-en-Vexin,mairie-doudeauvillevexin@orange.fr,10 rue Saint-Aubin,27150,Doudeauville-en-Vexin,https://lannuaire.service-public.gouv.fr/normandie/eure/0ca36c4c-58e0-4405-8717-bfe2028f5757,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Duranville,Mairie - Duranville,mairie.duranville@orange.fr,10 route de Paris,27230,Duranville,https://lannuaire.service-public.gouv.fr/normandie/eure/1064fb30-0c4d-4db8-891a-ee308b9b4e0d,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Ecauville,Mairie - Ecauville,mairie.ecauville27@orange.fr,26 rue Principale,27110,Écauville,https://lannuaire.service-public.gouv.fr/normandie/eure/208c237d-024d-4004-b87e-5d70ef912a8d,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
